level,count,configuration,gap_vector
interior,171,"(see ceiling_scan.py for full enumeration)",
L1,24,"{0,1,2,3,5,7,9,12,15,23,30,35}","(1,1,1,2,2,2,3,3,8,7,5)"
L1,24,"{0,1,2,3,5,7,9,12,15,24,30,35}","(1,1,1,2,2,2,3,3,9,6,5)"
L1,24,"{0,1,2,3,5,7,9,12,15,24,31,35}","(1,1,1,2,2,2,3,3,9,7,4)"
L1,24,"{0,1,2,3,5,7,9,12,15,24,32,35}","(1,1,1,2,2,2,3,3,9,8,3)"
L1,24,"{0,1,2,3,5,7,9,12,15,25,31,35}","(1,1,1,2,2,2,3,3,10,6,4)"
L1,24,"{0,1,2,3,5,7,9,12,15,25,32,35}","(1,1,1,2,2,2,3,3,10,7,3)"
L1,24,"{0,1,2,3,5,7,9,12,15,25,33,35}","(1,1,1,2,2,2,3,3,10,8,2)"
L1,24,"{0,1,2,3,5,7,9,12,15,25,34,35}","(1,1,1,2,2,2,3,3,10,9,1)"
L1,24,"{0,1,2,3,5,7,9,12,15,26,31,35}","(1,1,1,2,2,2,3,3,11,5,4)"
L1,24,"{0,1,2,3,5,7,9,12,15,26,32,35}","(1,1,1,2,2,2,3,3,11,6,3)"
L1,24,"{0,1,2,3,5,7,9,12,15,26,33,35}","(1,1,1,2,2,2,3,3,11,7,2)"
L1,24,"{0,1,2,3,5,7,9,12,15,26,34,35}","(1,1,1,2,2,2,3,3,11,8,1)"
L1,24,"{0,1,2,3,5,7,9,12,15,27,32,35}","(1,1,1,2,2,2,3,3,12,5,3)"
L1,24,"{0,1,2,3,5,7,9,12,15,27,33,35}","(1,1,1,2,2,2,3,3,12,6,2)"
L1,24,"{0,1,2,3,5,7,9,12,15,27,34,35}","(1,1,1,2,2,2,3,3,12,7,1)"
L1,24,"{0,1,2,3,5,7,9,12,15,28,32,35}","(1,1,1,2,2,2,3,3,13,4,3)"
L1,24,"{0,1,2,3,5,7,9,12,15,28,33,35}","(1,1,1,2,2,2,3,3,13,5,2)"
L1,24,"{0,1,2,3,5,7,9,12,15,28,34,35}","(1,1,1,2,2,2,3,3,13,6,1)"
L1,24,"{0,1,2,3,5,7,9,12,15,29,33,35}","(1,1,1,2,2,2,3,3,14,4,2)"
L1,24,"{0,1,2,3,5,7,9,12,15,29,34,35}","(1,1,1,2,2,2,3,3,14,5,1)"
L1,24,"{0,1,2,3,5,7,9,12,15,30,33,35}","(1,1,1,2,2,2,3,3,15,3,2)"
L1,24,"{0,1,2,3,5,7,9,12,15,30,34,35}","(1,1,1,2,2,2,3,3,15,4,1)"
L1,24,"{0,1,2,3,5,7,9,12,15,31,34,35}","(1,1,1,2,2,2,3,3,16,3,1)"
L1,24,"{0,1,2,3,5,7,9,12,15,32,34,35}","(1,1,1,2,2,2,3,3,17,2,1)"
L2,4,"{0,1,2,3,5,7,9,12,15,23,30,35}","(1,1,1,2,2,2,3,3,8,7,5)"
L2,4,"{0,1,2,3,5,7,9,12,15,28,32,35}","(1,1,1,2,2,2,3,3,13,4,3)"
L2,4,"{0,1,2,3,5,7,9,12,15,28,33,35}","(1,1,1,2,2,2,3,3,13,5,2)"
L2,4,"{0,1,2,3,5,7,9,12,15,28,34,35}","(1,1,1,2,2,2,3,3,13,6,1)"
L3,1,"{0,1,2,3,5,7,9,12,15,23,30,35}","(1,1,1,2,2,2,3,3,8,7,5)"
